iter	Accuracy	MultiClass
0	0.1496260441	1.945734589
1	0.1512098536	1.94557625
2	0.1514124508	1.945525301
3	0.151894861	1.945394974
4	0.1520107924	1.945270584
5	0.1520240147	1.945147055
6	0.1530234647	1.945026999
7	0.1525190811	1.944948132
8	0.1539418014	1.944819561
9	0.1549388006	1.944737673
10	0.1559618041	1.944601033
11	0.1559043441	1.944543528
12	0.1567703968	1.944400386
13	0.1569120027	1.944396194
14	0.1566079574	1.944363321
15	0.1567750046	1.944328312
16	0.1569862829	1.944225626
17	0.157199329	1.944163752
18	0.1573754444	1.944129169
19	0.1570193479	1.944076369
20	0.1574113962	1.943988369
21	0.1575652328	1.943941358
22	0.1575668393	1.943941358
23	0.1575649049	1.943941358
24	0.1575629706	1.943941358
25	0.1580192968	1.943854757
26	0.1583787894	1.94377984
27	0.158199079	1.943774726
28	0.1582942507	1.943712325
29	0.1582908302	1.943712325
30	0.1584309977	1.94364684
31	0.1584298603	1.94364684
32	0.1584346875	1.94364684
33	0.158426412	1.943645899
34	0.1584036304	1.943610587
35	0.1584740957	1.943590229
36	0.1585593527	1.943545695
37	0.1589563522	1.943501623
38	0.1592013789	1.94347333
39	0.1593279509	1.9433952
40	0.1593279509	1.9433952
41	0.1593109726	1.943393778
42	0.1595543494	1.943357645
43	0.1597227168	1.943328067
44	0.1597225444	1.943327037
45	0.159715521	1.94332167
46	0.159858521	1.943292428
47	0.1600078822	1.943270069
48	0.1600287143	1.943227316
49	0.1600643603	1.943200197
50	0.1600682364	1.943200197
51	0.159899937	1.943182478
52	0.1600208716	1.943171762
53	0.1599369245	1.943151043
54	0.1599331077	1.943150555
55	0.1600420489	1.943137762
56	0.1600502211	1.943134766
57	0.1600992768	1.943063235
58	0.1600984624	1.943063235
59	0.1600771089	1.943047853
60	0.1600191612	1.943021479
61	0.1605102798	1.942972209
62	0.1604613666	1.942965877
63	0.1605564362	1.942937128
64	0.1605714788	1.942917744
65	0.160515579	1.942901276
66	0.160889022	1.942865916
67	0.1608247624	1.942836029
68	0.1608254551	1.942836029
69	0.1608198537	1.942828685
70	0.1608186396	1.942828685
71	0.1608127454	1.942827931
72	0.1608049194	1.94282394
73	0.1608000959	1.942815589
74	0.1609162799	1.942804884
75	0.160909146	1.942799158
76	0.1612763743	1.942776988
77	0.1611795392	1.942772124
78	0.1610923675	1.942764089
79	0.161333099	1.942739163
80	0.1613347094	1.942739121
81	0.1612193768	1.94271294
82	0.1609275879	1.94270444
83	0.1609477206	1.942699006
84	0.1609971692	1.942692485
85	0.1609971692	1.942692485
86	0.16138204	1.942643315
87	0.1614324759	1.942633547
88	0.1613596524	1.942604501
89	0.161448294	1.942569755
90	0.1615972118	1.942549626
91	0.1615991461	1.942549626
92	0.161602282	1.942549482
93	0.1614947769	1.942534047
94	0.1614947769	1.942534047
95	0.161548002	1.942523457
96	0.1616086225	1.942490794
97	0.1615212998	1.942485078
98	0.161319364	1.942483271
99	0.161531635	1.942453253
100	0.1615297525	1.942453253
101	0.161641051	1.942429097
102	0.1615022391	1.942404911
103	0.1617812644	1.942358427
104	0.161802017	1.942347683
105	0.1618039514	1.942347683
106	0.1619509017	1.942295734
107	0.161954404	1.942295734
108	0.1623848984	1.942258049
109	0.1623908164	1.942256934
110	0.1623892559	1.942256934
111	0.1623890219	1.942256371
112	0.1623842795	1.942256226
113	0.1623641275	1.942253591
114	0.162453875	1.942249486
115	0.1626178608	1.942228219
116	0.1626194212	1.942228093
117	0.162553803	1.942223254
118	0.1626496878	1.942214595
119	0.1626938565	1.94220164
120	0.1624506568	1.942187534
121	0.1625379774	1.942180735
122	0.162612265	1.942161252
123	0.162612265	1.942161252
124	0.1625509137	1.94215424
125	0.1625525241	1.94215424
126	0.1625541345	1.94215424
127	0.1625558709	1.942153692
128	0.1625575331	1.942153692
129	0.1625575331	1.942153692
130	0.1625502415	1.942153241
131	0.1625502415	1.942153241
132	0.1625984057	1.94213499
133	0.1626207653	1.942123996
134	0.1626186408	1.942122258
135	0.1626186408	1.942122258
136	0.1627280701	1.942094767
137	0.1627312684	1.942094767
138	0.1627308137	1.942078755
139	0.1627279152	1.942077959
140	0.1627377384	1.942076347
141	0.1627448007	1.94206916
142	0.1627039791	1.94206209
143	0.1627292455	1.942057583
144	0.1627276775	1.942057583
145	0.1627276775	1.942057583
146	0.1627276775	1.942057583
147	0.1627308134	1.942057409
148	0.1627355922	1.942055058
149	0.1627355922	1.942055058
150	0.1627360848	1.942051997
151	0.1628275045	1.942026564
152	0.162825622	1.942026526
153	0.1628502207	1.942012941
154	0.1628095857	1.942011517
155	0.1628095857	1.942011517
156	0.1628074555	1.942010778
157	0.1629851125	1.942004148
158	0.1629411316	1.941992728
159	0.1629348623	1.941992123
160	0.1632342921	1.941966105
161	0.1632504346	1.941965104
162	0.1632473763	1.941930148
163	0.1632376819	1.941929548
164	0.1631940114	1.941897788
165	0.1632075471	1.941892557
166	0.1632059791	1.941892557
167	0.1632645102	1.941877462
168	0.1632488754	1.941866659
