iter	Passed	Remaining
0	538	774271
1	983	706937
2	1260	603848
3	1533	550572
4	1986	569992
5	2346	560887
6	3089	632427
7	3557	636721
8	4451	707729
9	5268	753365
10	5723	743509
11	6028	717399
12	6823	748958
13	7067	719898
14	7479	710586
15	7826	696599
16	8470	709013
17	8746	690997
18	9076	678822
19	9475	672780
20	10035	678106
21	10307	664357
22	10417	641778
23	10525	621013
24	10635	601963
25	11393	619610
26	11996	627818
27	12219	616218
28	12796	622630
29	12910	606791
30	13539	615409
31	13653	600753
32	13764	586880
33	13964	577487
34	14348	575987
35	14886	580573
36	15403	584096
37	16149	595841
38	16837	604868
39	17695	619334
40	17807	607619
41	18104	602614
42	18557	602888
43	19030	603771
44	19419	601995
45	20074	608342
46	20724	614233
47	21318	618235
48	21793	618669
49	22510	625788
50	22617	616007
51	23073	615873
52	23295	609648
53	24219	621630
54	24500	616974
55	25034	618715
56	25681	623111
57	26553	632705
58	26675	624385
59	27400	630214
60	28426	642621
61	29353	652399
62	29739	650011
63	30562	657099
64	31001	655810
65	31320	652026
66	32370	663356
67	32989	665613
68	33103	657753
69	33780	661139
70	33891	653483
71	34178	649384
72	34823	652105
73	35471	654786
74	35690	649567
75	36339	652197
76	36683	649343
77	37028	646572
78	37250	641751
79	37872	643825
80	38076	638836
81	38565	638675
82	39191	640754
83	39657	640179
84	40652	648052
85	40763	641795
86	41463	644830
87	42388	651241
88	43083	654000
89	43825	657386
90	44228	655644
91	44341	649697
92	44540	645119
93	45500	651530
94	45613	645792
95	46092	645292
96	46848	648635
97	47509	650589
98	47740	646669
99	48255	646623
100	48368	641239
101	48805	640208
102	49422	641535
103	50292	646067
104	50949	647782
105	51061	642599
106	51698	644052
107	51812	639019
108	52794	644676
109	53240	643720
110	53360	638886
111	53668	636355
112	53902	632994
113	54297	631560
114	54785	631219
115	55385	632156
116	55691	629742
117	56060	628069
118	56304	625029
119	56988	626872
120	57732	629334
121	58124	627930
122	58519	626592
123	58643	622382
124	58900	619634
125	59028	615582
126	59150	611533
127	59462	609494
128	59586	605561
129	59705	601650
130	59911	598654
131	60027	594816
132	60706	596568
133	61106	595564
134	61672	596167
135	61786	592420
136	62553	594941
137	62669	591270
138	63296	592441
139	63588	590460
140	64051	590094
141	65060	594703
142	65287	592156
143	65517	589655
144	65632	586166
145	65749	582739
146	65863	579330
147	66065	576735
148	66734	578216
149	66867	575058
150	67572	576823
151	68537	580761
152	68751	578325
153	69087	576925
154	69480	576014
155	69594	572818
156	69976	571846
157	70317	570548
158	71155	573270
159	71541	572329
160	72446	575526
161	72740	573842
162	73490	575753
163	73785	574089
164	74413	575013
165	74789	573988
166	74905	570984
167	75407	570946
168	76041	571884
